scenario,day_key,day,case,axis,variation,vre_share,vre_scale_factor,vre_share_annual,vre_share_day,vpl_mwh,vpl_mode,dc_flex,window_scale,reserve_from_flex,load_mwh,solver,mip_gap,time_milp_s,time_lp_s,objective_milp,cost_total,cost_fuel,cost_startup,cost_shutdown,cost_curtail_penalty,cost_migration,cost_degradation,cost_other,vre_available_mwh,vre_dispatched_mwh,curtailment_mwh,curtailment_pct,startups_total,startups_coal,startups_ng,startups_nuclear,startups_oil,frus_mean_mw,frds_mean_mw,frus_system_mean_mw,frds_system_mean_mw,pmin_mwh,pmin_unit_hours,online_unit_hours,corridor_limit_mw,corridor_flow_mean_mw,corridor_flow_max_mw,corridor_congested_hours,corridor_utilization,lmp_up_mean,lmp_down_mean,lmp_spread_mean,lmp_spread_max,lmp_spread_congested_mean,vpl_virtual_capacity_mw,vpl_virtual_mwh,vpl_cycles_up,vpl_cycles_down,vpl_throughput_mwh,vpl_hours_vtl,vpl_hours_arbitrage,vdc_energy_it_mwh,vdc_energy_elec_mwh,vdc_spatial_shift_mwh,vdc_spatial_shift_pct,vdc_temporal_shift_mwh,vdc_temporal_shift_pct,vdc_mean_delay_h,vdc_completion_min,vdc_site_cap_violation_mw,co2_t,co2_t_coal,co2_t_ng,co2_t_nuclear,co2_t_oil,gen_mwh_csp,gen_mwh_coal,gen_mwh_gas_cc,gen_mwh_gas_ct,gen_mwh_hydro,gen_mwh_nuclear,gen_mwh_oil_ct,gen_mwh_oil_st,gen_mwh_solar_pv,gen_mwh_solar_rtpv,gen_mwh_wind
median__C__w20,median,2020-03-16,C,window_scale,w20,0.5,1.2511,0.5,0.417,800.0,emergent,0.5,2.0,False,110400.26713966,gurobi,0.0004916776937145,13.4,1.9,1559510.9445077972,1559510.944507794,1457661.0582175436,101756.71035,0.0,-3970.042368491227,4063.2183087449903,0.0,-3.492459654808044e-09,43035.36057927149,39700.42368491227,3334.936894359222,7.7492946485628735,18.0,0.0,6.0,0.0,12.0,54.52346718336389,42.10544847928673,1131.3619440548007,873.6880559451994,22706.0,252,498,500.0,161.73665100027054,500.0,2,0.4642868662360256,21.718766395769176,21.07630320663748,-0.6424631891317021,5.630621729589649,-5.16480778901399,0.0,0.0,0.0,0.0,0.0,,,3114.7460676438604,4049.1698879370174,190.13060242968885,6.104208763750443,2133.5440122961863,68.49816858136685,6.355957880196604,1.0,1.4210854715202004e-14,45758.223402959855,38676.57498089883,6975.943342381022,0.0,105.70507968,1266.3251005503191,38233.09302876511,18487.96455858767,279.45575533199946,8112.0,9576.0,128.0,0.0,16765.433787108414,8138.287029717763,13530.377767535769
median__D__base,median,2020-03-16,D,base,base,0.5,1.2511,0.5,0.417,800.0,emergent,0.5,1.0,False,110400.26713966,gurobi,0.0002950896953758,8.7,1.3,1493286.034443286,1493286.034447653,1424811.5138881195,68044.7949,0.0,-4125.151549918627,1604.6229831212831,2950.2542263337245,-3.2596290111541752e-09,43035.36057927149,41251.51549918626,1783.8450800852254,4.145068278908383,16.0,0.0,4.0,0.0,12.0,52.993073342840496,42.38583132247391,1088.5660482508486,870.6756184158181,22462.12890271714,251,493,500.0,111.7518842098126,500.0,2,0.4193467457041485,23.089406865496585,22.42281886045788,-0.6665880050387122,5.630621729589581,-5.183745195669738,0.0,0.0,0.921954445729289,0.921954445729289,1475.1271131668625,,,3181.2666554796224,4135.64665212351,167.22708441723023,5.256619533266327,1650.784743887299,51.89080082437853,3.403115576963109,1.0,2.8421709430404014e-14,45655.27105017609,39205.833292098505,6324.428964073102,0.0,125.00879400448,1545.07246985313,38733.57358685224,16899.628984305135,142.88336810512283,8112.0,9572.12890271714,152.0,0.0,17402.154037698725,8606.305670867043,13697.983320767364
median__D__dedicated,median,2020-03-16,D,vpl_mode,dedicated,0.5,1.2511,0.5,0.417,800.0,dedicated,0.5,1.0,False,110400.26713966,gurobi,0.0003386770183256,12.5,2.4,1519980.375769368,1519980.375769365,1463596.4386900451,56610.832044,0.0,-3969.0433231469215,1478.8310999657197,2263.317258504265,-3.026798367500305e-09,43035.36057927149,39690.433231469215,3344.9273478022715,7.772509171012724,12.0,0.0,2.0,0.0,10.0,55.37875316808879,43.27727955174762,1128.342095799809,881.7745708668577,22552.0,246,489,500.0,115.78346497333278,500.0,4,0.3779092135520225,20.82147476092788,20.4801387234408,-0.3413360374870741,7.159843208013989,-0.1115390461961656,27.5732758926973,110.2931035707892,0.7770732865651656,0.6375,1131.6586292521324,15.0,0.0,3181.2666554796224,4135.64665212351,136.74933933391657,4.29858148163627,1629.8376787927623,51.232350359106896,3.4174879906551574,1.0,1.4210854715202004e-14,45668.11128536238,38418.77356684908,7151.089255864979,0.0,98.24846264832,1538.4765508534122,37964.8186217507,19341.771079053884,0.0,8112.0,9576.0,120.0,0.0,16424.154072757112,8247.546998438775,13480.25560941992
median__D__explicit,median,2020-03-16,D,vpl_mode,explicit,0.5,1.2511,0.5,0.417,800.0,explicit,0.5,1.0,False,110400.26713966,gurobi,0.0003069138247176,10.0,1.5,1519041.2830352406,1519041.2830352369,1462590.940363959,56610.832044,0.0,-3970.960832340847,1509.242392605841,2301.2290670161046,-3.2596290111541752e-09,43035.36057927149,39709.60832340847,3325.752255863019,7.727952574574008,12.0,0.0,2.0,0.0,10.0,55.53666713731734,42.79829221227615,1138.5016763150054,877.364990351661,22922.0,249,492,500.0,127.21931490733938,500.0,4,0.408865650388953,20.466562045991687,20.374054011426534,-0.0925080345651498,6.803092933994442,0.0633017597084029,0.0,0.0,0.6375000000000001,0.8007681668850654,1150.6145335080523,10.0,7.0,3181.266655479624,4135.646652123511,142.6061398435054,4.482684266591459,1560.818315806538,49.06279431553095,3.428747239942662,1.0,0.0,45744.8138537264,38548.74578594605,7098.122967461627,0.0,97.94510031872,1545.07246985313,38083.6583325907,19207.101435849167,0.0,8112.0,9576.0,120.0,0.0,16687.15274274053,8028.239183200654,13449.143927614154
median__D__f02,median,2020-03-16,D,dc_flex,f02,0.5,1.2511,0.5,0.417,800.0,emergent,0.2,1.0,False,114720.26713966,gurobi,0.0001309720728443,7.1,1.3,1547592.2072266843,1547592.2072172053,1463496.6236646182,84605.766066,0.0,-4134.765701927402,674.3289621842525,2950.2542263337245,-3.492459654808044e-09,43035.36057927149,41347.65701927401,1687.703559997476,3.921667060018499,12.0,0.0,3.0,0.0,9.0,53.75932782597207,44.92703581039156,1084.1464444904368,906.0285555095631,22162.0,238,484,500.0,138.44187942449193,500.0,3,0.4923895051825893,22.49498822021987,21.83863314120985,-0.6563550790100249,5.593613643352654,-3.389337193726387,0.0,0.0,0.921954445729289,0.921954445729289,1475.1271131668625,,,1272.5066634316588,1654.2586624611563,68.27601369103371,5.365473961991598,673.3876318605337,52.91820084026607,3.403028683609308,1.0,9.533687830298732e-07,46208.98623083161,39162.82776773004,6974.441576291973,0.0,71.7168868096,1512.3252664348995,38707.4710816708,18871.214250558725,0.0,8112.0,9576.0,88.0,0.0,17614.75185958465,8626.133343835894,13594.446549418566
median__D__f08,median,2020-03-16,D,dc_flex,f08,0.5,1.2511,0.5,0.417,800.0,emergent,0.8,1.0,False,106080.26713966,gurobi,0.0003436333666819,8.1,1.4,1434089.1720540032,1434089.1720539995,1374997.850954522,56507.338044,0.0,-4113.704494300576,3536.039190296496,3161.6483594852966,-3.725290298461914e-09,43035.36057927149,41137.04494300575,1898.3156362657323,4.411060139182567,10.0,0.0,2.0,0.0,8.0,52.84813850495861,43.32480018425915,1041.5487297018926,853.8596036314408,21370.0,236,473,500.0,121.91540744730791,500.0,3,0.4702569232301366,21.18939621407472,21.319253671532177,0.1298574574574601,5.9161664749999865,1.038859659659734,3.675333725206732,11.026001175620197,1.0540757789490216,0.9219544457292888,1580.8241797426483,,,5090.026646999983,6617.034641099979,294.8606904245078,5.792910545926043,2673.3711309307405,52.52175118781357,3.4148726497696336,1.0,0.0,44612.55477927608,38635.338869853,5893.02052525667,0.0,84.1953841664,1546.823969009239,38180.83455308207,15939.795934072516,0.0,8112.0,9572.0,104.0,0.0,17585.253766834663,8474.715138497997,13530.252068663858
median__D__hist,median,2020-03-16,D,history,hist,0.5,1.2511,0.5,0.417,800.0,emergent,0.5,1.0,False,110400.26713966,gurobi,0.0004287761139764,8.4,1.4,1490350.2824409816,1490350.2824516268,1406410.2980218888,84347.031066,0.0,-4139.498046566599,746.1361752303798,2986.315235077657,-3.492459654808044e-09,43035.36057927149,41394.980465665976,1640.380113605508,3.811702961298336,7.0,0.0,3.0,0.0,4.0,53.94670695983666,47.95329304016333,1007.0051965836176,895.1281367497155,20434.0,208,448,500.0,158.43560655742144,500.0,4,0.4622875667041621,19.930315059019645,19.52014480432664,-0.4101702546930033,5.427562692294952,-2.528445721805592,0.0,0.0,0.925817536182938,0.940629485740598,1493.1576175388286,,,3181.2666554796224,4135.646652123511,89.50277666526046,2.8134320809321345,1644.666084396153,51.69846675893304,3.406235031073322,1.0,0.0,44791.55403294765,38189.6808879105,6576.207240458591,0.0,25.66590457856,1530.1326481600083,37857.18056888001,17889.894713113164,0.0,8112.0,9576.0,32.0,0.0,17532.83908730238,8622.880559688834,13709.128170514754
median__D__mig05,median,2020-03-16,D,migration_cost,mig05,0.5,1.2511,0.5,0.417,800.0,emergent,0.5,1.0,False,110400.26713966,gurobi,0.000452420649784,9.3,1.3,1491849.4533400205,1491849.4533400177,1422997.18483832,68044.79490000001,0.0,-4125.151549918627,1982.370925285648,2950.2542263337245,-3.2596290111541752e-09,43035.36057927149,41251.51549918626,1783.845080085224,4.145068278908379,16.0,0.0,4.0,0.0,12.0,53.12746468028588,42.59106892460211,1086.899381584182,871.3422850824849,21880.0,247,491,500.0,122.42307929884062,500.0,2,0.4322841025915981,21.441847761284453,20.775259756245745,-0.6665880050387103,5.63062172958956,-5.183745195669729,0.0,0.0,0.921954445729289,0.921954445729289,1475.1271131668625,,,3181.266655479624,4135.64665212351,283.39904533126554,8.908371287993742,1637.8255886016052,51.483442476615615,3.4002818285319183,1.0,0.0,45673.66064353028,39250.3469667986,6311.685048405267,0.0,111.6286283264,1380.350537995454,38777.90058849161,16867.430885382906,142.88336810512283,8112.0,9576.0,136.0,0.0,17798.818901978768,8508.680777139778,13563.665282072265
median__D__mig20,median,2020-03-16,D,migration_cost,mig20,0.5,1.2511,0.5,0.417,800.0,emergent,0.5,1.0,False,110400.26713966,gurobi,0.0004793427186945,9.2,1.4,1494665.637082209,1494665.6370906187,1425351.016655607,68044.79490000001,0.0,-4124.282142992595,1913.3435431041808,3480.764134903806,-3.492459654808044e-09,43035.36057927149,41242.82142992595,1792.5391493455388,4.165270431610924,16.0,0.0,4.0,0.0,12.0,49.11059589150316,44.870590202566376,1000.6283912893769,914.2382753772898,20778.128902717137,240,489,500.0,95.49397178311898,500.0,2,0.4681951322891154,22.28855497032757,21.621966965288863,-0.6665880050387122,5.630621729589581,-5.18374519566974,0.0,0.0,1.0410231385855897,1.1344544457292889,1740.382067451903,,,3181.266655479623,4135.64665212351,114.75757782351816,3.607292008227357,1628.1390033891976,51.178954162323485,3.3752007595847804,1.0,1.4210854715202004e-14,45888.17341047822,39539.99783067766,6216.341568828397,0.0,131.83401097216,1531.9858744412345,39057.8034522745,16600.902885958196,164.88336810512283,8112.0,9572.12890271714,160.0,0.0,17876.12675361496,8306.254833626957,13528.4539682428
median__D__reson,median,2020-03-16,D,reserve_from_flex,reson,0.5,1.2511,0.5,0.417,800.0,emergent,0.5,1.0,True,110400.26713966,gurobi,0.0004990172198489,27.3,1.3,1491090.171479478,1491090.172033135,1423296.3848092267,68044.7949,0.0,-4124.846735622754,763.0749246311207,3110.7641349038067,-3.958120942115784e-09,43035.36057927149,41248.46735622753,1786.893223043954,4.152151158934713,16.0,0.0,4.0,0.0,12.0,49.99538969163884,44.67771092437759,1014.489782492838,906.585217507162,21256.128902717137,242,487,500.0,93.392694863734,500.0,2,0.4399409558839234,19.691665320857307,19.0349309365018,-0.6567343843555074,5.593613643352743,-5.084005790589714,0.0,0.0,1.02227313858559,0.921954445729289,1555.3820674519034,,,3181.266655479623,4135.64665212351,91.53466464743131,2.877302488609875,1602.6224432022314,50.37686609645781,3.396174986071628,1.0,1.4210854715202004e-14,45709.89585785694,39295.97294786664,6302.294281663911,0.0,111.6286283264,1531.6799565205984,38821.15826986676,16790.75804758798,198.0,8112.0,9572.12890271714,136.0,0.0,17689.198362539973,8266.488604504182,13761.10043266278
median__D__soc50,median,2020-03-16,D,soc_initial,soc50,0.5,1.2511,0.5,0.417,800.0,emergent,0.5,1.0,False,110400.26713966,gurobi,0.0004212698342616,9.1,1.4,1495510.9115914165,1495510.9115958177,1426569.0717965036,68044.79490000001,0.0,-4122.9780467059,1602.390160829237,3417.632785194633,-3.958120942115784e-09,43035.36057927149,41229.78046705899,1805.5801122124933,4.195573332972545,16.0,0.0,4.0,0.0,12.0,50.408770193040986,43.98593449127674,1031.27942353263,899.8789098007032,20916.12890271714,243,491,500.0,118.523838478234,500.0,3,0.410705628003994,22.29262183940398,21.69588724590562,-0.5967345934983626,4.773876747986833,-4.7738767479868285,0.0,0.0,0.9609772228646444,1.1750432678820015,1708.8163925973167,,,3181.266655479623,4135.646652123511,167.03259517577038,5.250505954540543,1625.296840169023,51.08961354652571,3.4096411631363868,1.0,2.8421709430404014e-14,45637.2028467655,39144.96463366508,6367.2294190959465,0.0,125.00879400448,1407.3292602685256,38671.37471095516,16982.70685343946,186.88336810512283,8112.0,9572.12890271714,152.0,0.0,17708.368197429598,8393.907214569077,13720.175794791794
median__D__vpl100,median,2020-03-16,D,vpl_size,vpl100,0.5,1.2511,0.5,0.417,400.0,emergent,0.5,1.0,False,110400.26713966,gurobi,0.0004854712630928,7.1,1.2,1527235.0594058894,1527235.0594058856,1443933.1634331152,84657.513066,0.0,-4035.087378658759,1198.1622275400537,1481.3080578927008,-3.492459654808044e-09,43035.36057927149,40350.87378658759,2684.486792683896,6.237862902854151,13.0,0.0,3.0,0.0,10.0,55.31613212040467,42.6965988857555,1122.4565142765448,866.3851523901221,23434.12890271714,250,487,500.0,169.64965151620538,500.0,2,0.4635306704238363,21.57796337584629,21.250896740592548,-0.3270666352537392,5.305426183436119,-1.3767229548609876,0.0,0.0,0.9296806266365872,0.921954445729289,740.6540289463504,,,3181.266655479623,4135.646652123511,139.6505763341924,4.389779023825277,1617.9636802588188,50.85910285049295,3.4130916194364427,1.0,1.4210854715202004e-14,45535.38389081629,38625.62777271979,6805.222974995071,0.0,104.53314310144,1545.07246985313,38175.736207974594,18395.378546671185,0.0,8112.0,9572.12890271714,128.0,0.0,17110.773384618133,8188.676940807215,13506.350991309117
median__D__vpl100_f02,median,2020-03-16,D,vpl_x_fd,vpl100_f02,0.5,1.2511,0.5,0.417,400.0,emergent,0.2,1.0,False,114720.26713966,gurobi,0.0003326957171756,22.9,1.4,1588603.404844815,1588603.4048448629,1489111.158953618,101704.96335,0.0,-4044.87997916584,357.0354072466989,1475.1271131668625,-3.259629011154175e-09,43035.36057927149,40448.79979165839,2586.560787613092,6.0103151287616745,17.0,0.0,6.0,0.0,11.0,52.56703363148106,44.53799654960547,1088.5756547852536,922.3076785480798,22234.0,247,497,500.0,136.12739272844567,500.0,1,0.4962956081644758,20.761200371623666,20.10241201638277,-0.6587883552408925,5.630621729589567,-4.773876747986829,0.0,0.0,0.9219544457292888,0.921954445729289,737.5635565834311,,,1272.5066634316588,1654.2586624611567,42.82818751869427,3.3656552652696106,648.5185279533908,50.96386106179476,3.381380694366249,1.0,7.105427357601002e-15,46488.57318702404,39094.36719195808,7295.957532417636,0.0,98.24846264832,1546.823969009239,38643.01200842376,19447.88890862504,224.48336810512228,8112.0,9576.0,120.0,0.0,16966.348647771672,8336.472913092935,13599.154261784548
median__D__vpl100_f08,median,2020-03-16,D,vpl_x_fd,vpl100_f08,0.5,1.2511,0.5,0.417,400.0,emergent,0.8,1.0,False,106080.26713966,gurobi,0.0004486632333445,10.5,1.6,1473455.5315580915,1473455.5315580864,1388533.1240473655,84347.031066,0.0,-4040.46974857416,2895.723939113482,1720.1222541864315,-5.3551048040390015e-09,43035.36057927149,40404.69748574159,2630.6630935298936,6.112794358221283,7.0,0.0,3.0,0.0,4.0,55.39345512162404,44.96882558013034,1052.4756473108569,854.4076860224765,21190.0,222,456,500.0,175.65946630518656,500.0,3,0.5003083321780115,21.75359956253864,21.93058505039639,0.1769854878577518,7.021385161359522,1.2769880452630282,0.2362736339030486,0.7088209017091458,1.148380765478767,1.0017720522542728,860.0611270932159,,,5090.026646999982,6617.034641099979,291.0430240508244,5.717907669940444,2557.642917049264,50.24812431103315,3.4086777178137595,1.0,0.0,44107.34933447765,37575.915373439646,6493.335716624561,0.0,38.09824441344,1546.823969009239,37208.349074572856,17570.67901064285,0.0,8112.0,9574.756379323731,48.0,0.0,17472.49396346837,8149.212854871541,13236.166698392446
median__D__vpl400,median,2020-03-16,D,vpl_size,vpl400,0.5,1.2511,0.5,0.417,1600.0,emergent,0.5,1.0,False,110400.26713966,gurobi,0.0001830329697595,53.1,1.3,1426337.8333872396,1426337.8333872354,1414357.8293759702,6989.957628000001,0.0,-4181.3308592713465,3011.514493485439,6159.862749054935,-3.958120942115784e-09,43035.36057927149,41813.30859271346,1222.051986558029,2.8396462121120125,14.0,0.0,1.0,0.0,13.0,51.48368975811797,42.42394076397039,1068.2865624809476,880.2967708523856,21794.0,254,498,500.0,107.223500628045,500.0,3,0.4797311256114335,21.085639733518352,20.29385647930189,-0.7917832542164573,6.33426603373162,-2.111422011243859,0.0,0.0,1.0030026633503786,0.921954445729289,3079.931374527468,,,3181.2666554796224,4135.646652123511,237.9370563446413,7.479318212285125,1645.1603277076515,51.71400281312224,3.481043700276313,1.0,1.4210854715202004e-14,45431.03930918388,39112.01784310935,6176.140256334663,0.0,142.88120973985917,1545.07246985313,38632.28036381096,16757.958768541175,94.88336810512284,8112.0,9572.0,152.0,20.0,17929.68562322868,8645.024513305354,13693.525986326293
median__D__vpl400_f02,median,2020-03-16,D,vpl_x_fd,vpl400_f02,0.5,1.2511,0.5,0.417,1600.0,emergent,0.2,1.0,False,114720.26713966,gurobi,0.0004254100426408,7.6,1.3,1479639.2002677731,1479639.2002677708,1448678.0105840988,28408.910022,0.0,-4205.210034255225,856.9812432630399,5900.508452667448,-3.259629011154175e-09,43035.36057927149,42052.10034255224,983.260236719244,2.284772855354774,8.0,0.0,1.0,0.0,7.0,55.82770467043652,43.56693450482121,1128.184865215071,880.4151347849287,22990.0,240,485,500.0,127.5284086452071,500.0,4,0.4767301497361877,20.067937668851386,19.830563392070893,-0.2373742767804889,4.7738767479868365,-1.2392596750006215,4.617528327429149,18.470113309716595,0.921954445729289,0.9219544457292886,2950.254226333724,,,1272.5066634316588,1654.2586624611567,66.46961400269768,5.223517951838804,641.4767829939271,50.41048518080143,3.432292519560596,1.0,0.0,46039.51838856563,39175.4669283355,6818.643199719408,0.0,45.40826051072,1546.823969009239,38697.05367618891,18452.909558649382,0.0,8112.0,9572.0,56.0,0.0,17998.434831844894,8645.024513305354,13861.817028392756
median__D__vpl400_f08,median,2020-03-16,D,vpl_x_fd,vpl400_f08,0.5,1.2511,0.5,0.417,1600.0,emergent,0.8,1.0,False,106080.26713966,gurobi,0.0004257285788606,6.7,1.7,1367343.9276065854,1367343.9276065824,1360562.0669070266,310.482,0.0,-4174.273459724518,4574.633797871768,6071.018361411861,-3.2596290111541752e-09,43035.36057927149,41742.73459724518,1292.625982026306,3.003636926999318,6.0,0.0,0.0,0.0,6.0,55.30786173850689,41.49507327197529,1099.2437520528244,824.7145812805089,21930.0,241,477,500.0,108.94644452596644,500.0,3,0.5007798215825254,20.506755884664155,20.0162932334548,-0.4904626512093594,5.885551814512105,-1.9618506048373696,6.225759786481718,18.677279359445155,0.975238792211918,0.9219544457292888,3035.5091807059307,,,5090.026646999986,6617.034641099982,367.24818570162086,7.215054284992269,2618.7699199420667,51.44904146003922,3.4536971349659944,1.0,0.0,44397.32977602187,38583.605619104994,5749.734155396234,0.0,63.99000152064,1546.823969009239,38105.39320381542,15697.756746916788,0.0,8112.0,9572.0,80.0,0.0,17802.05409119135,8645.024513305354,13748.832023739238
median__D__vpl650,median,2020-03-16,D,vpl_size,vpl650,0.5,1.2511,0.5,0.417,2600.0,emergent,0.5,1.0,False,110400.26713966,gurobi,0.0003666727895987,7.2,1.4,1392482.1291161194,1392482.1291161142,1385975.952154215,0.0,0.0,-4226.378567809471,613.7193855585172,10118.836144154682,-4.423782229423523e-09,43035.36057927149,42263.7856780947,771.574901176786,1.792885875222397,0.0,0.0,0.0,0.0,0.0,48.819666798455565,49.55037725440787,923.505363604118,937.3279697292156,16562.0,182,454,500.0,96.93972876660877,500.0,5,0.4972843175463022,26.77358874922166,25.52040038602201,-1.253188363199644,6.359436175025625,-1.937794085005144,122.93148123178668,614.6574061589334,0.9219544457292888,1.0239755819927654,5059.418072077341,,,3181.266655479623,4135.646652123511,73.6187183321145,2.31413227197754,1721.9890038978667,54.12903696493972,3.424506596040561,1.0,1.4210854715202004e-14,45857.075214943485,40097.51129360505,5759.563921338435,0.0,0.0,1546.823969009239,39768.02913747797,15731.842136023202,0.0,8112.0,9600.0,0.0,0.0,18249.25143144763,8645.024513305354,13822.685764332478
median__D__vre30,median,2020-03-16,D,vre_share,vre30,0.3,0.7506,0.3,0.2502,800.0,emergent,0.5,1.0,False,110400.26713966,gurobi,0.0004596483065946,6.3,1.3,1782073.0918469022,1782073.0918607935,1781115.327264499,310.482,0.0,-2582.121634756289,851.8989259658134,2377.505305082173,2.7939677238464355e-09,25821.21634756289,25821.21634756289,0.0,0.0,6.0,0.0,0.0,0.0,6.0,45.98406463767033,57.22125855624602,1007.8174166422748,1254.099250024392,18764.0,163,526,500.0,-49.94328862313221,261.586558166175,0,0.2374930138933573,26.05886026876909,26.059332056142456,0.000471787373363,0.0113228969609906,0.0,0.0,0.0,0.8012986887370076,0.6846421269393507,1188.7526525410867,,,3181.2666554796224,4135.646652123511,102.18954928917476,3.212228346629063,1550.999303386674,48.75414328173752,3.3380173404037983,1.0,2.8421709430404014e-14,56683.75801001972,47915.814837583726,8723.064126783514,0.0,44.87904565248,928.0943814055432,47427.64806988297,23760.73393070244,0.0,8112.0,9600.0,56.0,0.0,11058.100396174312,5187.014707983213,8648.006861999824
median__D__vre70,median,2020-03-16,D,vre_share,vre70,0.7,1.7515,0.7,0.5838,800.0,emergent,0.5,1.0,False,110400.26713966,gurobi,0.0,7.1,1.3,1363904.453741616,1363904.4537416091,1247234.5579911706,112807.688088,0.0,-4840.44458024945,5306.062798791369,3396.589443904021,-7.450580596923828e-09,60249.50481098007,48404.44580249449,11845.059008485576,19.660010560496577,16.0,0.0,4.0,0.0,12.0,52.97161546088981,39.11941298549969,1008.66784440111,744.8988222655566,20728.0,247,457,500.0,187.34404839239664,500.0,5,0.5374679512108241,21.373422807723045,21.56145864979662,0.1880358420735711,1.5042867365886003,0.9025720419531604,0.0,0.0,1.2009139567107243,0.921954445729289,1698.2947219520106,,,3181.266655479623,4135.64665212351,354.38909450471493,11.139873920794784,1683.0445252936809,52.90485544161142,3.4412419113261694,1.0,2.8421709430404014e-14,41065.44365208586,36116.63455251651,4823.800305564872,0.0,125.00879400448,2016.46253845516,35683.77237945571,12999.79935491765,0.0,8112.0,9568.0,152.0,0.0,20798.44665167066,9700.23882475854,15889.297787610136
median__D__w05,median,2020-03-16,D,window_scale,w05,0.5,1.2511,0.5,0.417,800.0,emergent,0.5,0.5,False,110400.26713966,gurobi,0.0004989389329036,236.2,1.5,1479508.354697449,1479508.3546974454,1391614.648775564,84347.031066,0.0,-4059.954788771985,4645.009624603692,2961.620020052984,-3.259629011154175e-09,43035.36057927149,40599.547887719855,2435.812691551636,5.660026217428453,7.0,0.0,3.0,0.0,4.0,55.335198148361904,45.519867930933245,1046.7574983065126,861.0841683601539,21632.0,221,454,500.0,161.8739669770221,500.0,5,0.516877475463043,19.458545379248715,19.2038576761821,-0.2546877030666086,4.455774454429992,-1.264355544133388,0.0,0.0,0.929058066803826,0.9219544457292888,1480.810010026492,,,1962.366691280667,2551.076698664868,256.5132386791265,13.071626206197095,942.5884367435388,48.03324684075191,1.8453573146263007,1.0,7.450580312706734e-07,44149.54015567807,37557.56420433533,6566.535899292819,0.0,25.44005204992,1545.07246985313,37192.49133168544,17781.52870895825,0.0,8112.0,9572.0,32.0,0.0,17495.21933463061,7907.448919349167,13651.807163886946
median__D__w20,median,2020-03-16,D,window_scale,w20,0.5,1.2511,0.5,0.417,800.0,emergent,0.5,2.0,False,110400.26713966,gurobi,0.0004501566074756,12.9,1.7,1484822.2372851083,1484822.2372851046,1413520.6388394805,68044.79490000001,0.0,-4146.5837012493,4177.295990606198,3226.091256271144,-4.190951585769653e-09,43035.36057927149,41465.837012493,1569.5235667784862,3.647055690139765,16.0,0.0,4.0,0.0,12.0,50.02678618901134,44.36089348244657,1015.1268697520218,900.1564635813116,20730.0,238,487,500.0,97.69803895007146,500.0,3,0.4629442696014491,22.16976294196741,21.76965409696258,-0.4001088450048271,4.598836249250354,-3.200870760038661,0.0,0.0,0.921954445729289,1.094352589440176,1613.045628135572,,,3114.74606764386,4049.169887937018,190.13060242968595,6.104208763750352,2057.743931851196,66.06458077681336,6.096517977831851,1.0,1.4210854715202004e-14,45812.46899110085,39638.14269412834,6062.697668646116,0.0,111.6286283264,1414.9771637347435,39162.27169651548,16184.600061330875,164.88336810512283,8112.0,9576.0,136.0,0.0,17796.33681662433,8602.132654680538,13652.39037745339
solar_ramp__A__base,solar_ramp,2020-01-14,A,base,base,0.5,1.2511,0.5,0.8518,800.0,emergent,0.5,1.0,False,121001.7219911235,gurobi,0.0004257504907042,7.9,1.0,1399811.6424208654,1399811.6424208614,1208997.8252798575,197051.225154,0.0,-6237.40801299237,0.0,0.0,-3.492459654808044e-09,93416.61376822488,62374.08012992369,31042.5336383012,33.23020647624902,21.0,0.0,7.0,0.0,14.0,59.55751119956135,32.0649025935421,1151.4452165248526,619.921450141814,24626.23181731134,297,464,500.0,329.3225872046329,500.0,9,0.786916875300572,9.643121940111326,15.676240565714991,6.033118625603668,23.164446913102143,17.065837678212354,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,,,0.0,37299.82726111873,31454.94312964432,5715.5507550545735,0.0,129.33337641984,1467.998589464421,31161.81919911176,15258.06378698044,0.0,2581.6,9548.231817311342,160.0,0.0,8696.202637026821,2172.3068319661024,50037.57207146635
solar_ramp__A__f02,solar_ramp,2020-01-14,A,dc_flex,f02,0.5,1.2511,0.5,0.8518,800.0,emergent,0.2,1.0,False,122840.33400146116,gurobi,0.0004787414237495,24.7,3.0,1430168.8628013125,1430168.8628013122,1239591.3413233086,196895.984154,0.0,-6318.462675996199,0.0,0.0,-2.3283064365386963e-10,93416.61376822488,63184.626759962,30231.987008262888,32.36253787069525,18.0,0.0,7.0,0.0,11.0,60.88599889451845,31.415903853895923,1199.9615615461344,619.1551051205322,24918.0,308,473,500.0,304.2446943307699,500.0,8,0.750023920976449,11.361611526968064,15.993781713715142,4.632170186747076,23.16444691310213,15.904501643561035,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,,,0.0,37468.82927640505,31124.313945778697,6193.036794444593,0.0,151.47853618176,1650.162419219659,30828.61456709199,16581.10795580078,0.0,2581.6,9560.0,184.0,0.0,9849.895762455102,4962.128376349829,46722.4402019374
